key|message|comments*
*Comments are ignored by the plugin
type|Tip-ul Sign
round|NUmele Rundei
number|Numarul Sign-ului (doar pentru "players" semne)
prerelease|Am detectat că se execută o construcție prelansare a TTT. Dacă există o versiune mai nouă, vă recomandăm actualizarea la asta. Dacă nu, vă rugăm să raporteze orice bug-uri veți găsi în acest construi la autorul plugin.

Totul sub această linie a fost tradus doar prin Google Translate. Simțiți-vă liber să-l corecteze, dacă este inexact. :)

createarena-help|Creează o arenă de numele specificat. Pot fi prevăzute trei coordonate și, opțional, o lume. În cazul în care sunt furnizate argumente suplimentare, locația expeditorului va fi folosit. 
addspawn-help|Adaugă o spawn la arena specificat. Pot fi prevăzute trei coordonate și, opțional, o lume. În cazul în care sunt furnizate argumente suplimentare, locația expeditorului va fi folosit. 
removespawn-help|Sterge un spawn de la arena specificată. Pot fi prevăzute trei coordonate și, opțional, o lume. În cazul în care sunt furnizate argumente suplimentare, locația expeditorului va fi folosit. Un singur indice pot fi de asemenea utilizate. 
same-world|Tu trebuie să fie în aceeași lume ca arenă!
