key|message|comments*
*Comments are ignored by the plugin
no-pm|Je mag geen priveberichten sturen, terwijl in een spel!
left-game|heeft map % over!
commands|Opdrachten voor u beschikbaar:
import-help|Invoer een wereld van een bepaalde map in de plugin
join-help|Voert u in een bepaald spel
quit-help|Verwijdert u van uw huidige spel
spawn-help|Stelt het spawn point na ronde uitgang naar uw huidige locatie
help-help|Geeft deze help menu
karma-permaban|Je bent permanent verbannen van het gebruik van TTT op deze server, omdat je karma onder % is gedaald
karma-ban|Je bent verbannen van het gebruik van TTT op deze server voor en omdat je karma onder % is gedaald
karma-kick|U bent automatisch verwijderd uit de ronde omdat je karma onder % is gedaald
ban-fail|Mislukt speler verbod voor % registreren
folder-rename|Pre-0.5 map data ("Trouble In Terrorist Town") gedetecteerd. Dit zal automatisch worden hernoemd naar "TTT." Het zal echter moeten handmatig worden gewijzigd terug als u wenst om terug te schakelen naar een pre-0.5 versie.
folder-rename-error|een fout opgetreden bij het hernoemen van de map van de gegevens. Mogelijk moet u dit handmatig doen.
already-entered|U bent al in deze ronde!
round-full|Het opgegeven ronde is vol!
connect-fail-1|Maximale aansluiting moment van 1000ms overschreden. Nieuwe poging ...
connect-fail-2|Een uitzondering opgetreden tijdens het controleren van de build-status. Nieuwe poging ...
connect-fail-3|Kan niet verbinden met server %. Huidige build status ongecontroleerd blijven totdat de plugin weer wordt ingeschakeld.
response|reageerde met %
stable-build|Huidige TTT build is stabiel.
unstable-build|Huidige TTT build is instabiel! Overweeg een update naar de nieuwste versie of dev build.
unknown-build|Kan de stabiliteit van de huidige TTT build niet bepalen. Als je het plugin.yml bestand (of niet weten wat dat is), bug de ontwikkelaar om de status van deze versie updaten niet hebben gewijzigd.
build-check-fail|Een uitzondering opgetreden tijdens het controleren van de huidige build-status.
config-copy-fail|mislukt oude config kopiëren!
write-fail|mislukt schrijven naar %!
creating-file|% niet gevonden; creëren ...
waiting-sign|WACHTEN
preparing|VOORBEREIDING
ingame|INGAME
resetting|resetten
locale-fail|Kon bericht niet te krijgen van de huidige locale!
invalid-sign|Ongeldige lobby teken! Type / ttt hulp lobby voor hulp.
lobby-unregister|Lobby teken ongeregistreerde
lobby-create|Lobby teken gemaakt
lobby-unregister-fail|mislukt lobby teken uitschrijven
lobby-create-fail|mislukt lobby teken opslaan op schijf
lobby-help|Lobby Sign-formaat
first|Eerste
second|Tweede
third|Derde
fourth|Vierde
line|Line
type|Teken Type
round|Ronde Naam
number|Teken Nummer (alleen voor "players" borden)|Translator note: do not translate "players"
prerelease|We hebben gedetecteerd dat je werkt met een prerelease build van TTT. Als er een nieuwere versie beschikbaar is, raden we een update naar die. Zo niet, gelieve dit te melden alle bugs die je in deze bouwen om de plugin auteur.

Alles onder deze lijn is vertaald alleen door Google Translate. Voel je vrij om dit te corrigeren als het onnauwkeurig. :)

createarena-help|Maakt een arena met de opgegeven naam. Drie coördinaten en eventueel een wereld worden verschaft. Als er geen extra argumenten worden verstrekt, zal de locatie van de afzender gebruikt worden. 
addspawn-help|Voegt een spawn naar de opgegeven arena. Drie coördinaten en eventueel een wereld worden verschaft. Als er geen extra argumenten worden verstrekt, zal de locatie van de afzender gebruikt worden. 
removespawn-help|Verwijdert een spawn van de opgegeven arena. Drie coördinaten en eventueel een wereld worden verschaft. Als er geen extra argumenten worden verstrekt, zal de locatie van de afzender gebruikt worden. Een index kan ook worden gebruikt. 
same-world|U moet in dezelfde wereld als de arena!
