key|message|comments*
*Comments are ignored by the plugin
karma-permaban|Você foi banido permanentemente de usar TTT neste servidor, porque o seu karma caiu abaixo %
ban|Você foi banido de usar a TTT no servidor de %
karma-ban|Você foi banido de usar a TTT no servidor de % porque o seu karma caiu abaixo %
karma-kick|Você foi automaticamente removido da rodada, porque o seu karma caiu abaixo %
ban-fail|Falha ao registrar proibição jogador para %
folder-rename|Pré-0.5 pasta de dados ("Trouble In Terrorist Town") detectada. Esta será automaticamente renomeada para "TTT". No entanto, ele terá de ser alterado manualmente para trás, se você quiser voltar para uma versão pré-0.5.
folder-rename-error|Ocorreu um erro enquanto a pasta de dados foi renomeada. Você pode precisar fazer isso manualmente.
already-entered|Você já está nesta rodada!
round-full|A rodada especificada está cheia!
config-copy-fail|Falha ao copiar configuração antiga!
write-fail|Falha ao gravar a %!
creating-file|% não foi encontrado, a criação de ...
waiting-sign|ESPERA
preparing|PREPARANDO
ingame|INGAME
resetting|REINICIAR
locale-fail|Não foi possível obter mensagem do locale atual!
invalid-sign|inválido sinal lobby! Tipo / ttt entrada de ajuda para obter ajuda.
lobby-unregister|sinal Lobby não registradas
lobby-create|sinal Lobby criado
lobby-unregister-fail|Falha ao cancelar o registro sinal lobby
lobby-create-fail|Falha ao salvar sinal de entrada para o disco
lobby-help|Lobby Format Entrar
first|Primeiro
second|Segundo
third|Terceiro
fourth|Quarto
line|Linha
type|Tipo
round|Nome Rodada
number|sinal de número (apenas para "jogadores" sinais)|Tradutor nota: não traduzir "players"
prerelease|Detectamos que você está executando uma compilação de pré-lançamento do TTT. Se houver uma nova versão disponível, é altamente recomendável a atualização para isso. Se não, por favor relatar quaisquer bugs que você encontrar nesta compilação ao autor do plugin.

Tudo abaixo desta linha foi traduzido apenas pelo Google Translate. Sinta-se livre para corrigi-lo se ele é impreciso. :)

createarena-help|Cria uma arena com o nome especificado. Pode ser fornecida três coordenadas e, opcionalmente, um mundo. Se não há argumentos adicionais são fornecidos, a localização do transmissor será usado. 
addspawn-help|Adiciona um spawn para a arena especificado. Pode ser fornecida três coordenadas e, opcionalmente, um mundo. Se não há argumentos adicionais são fornecidos, a localização do transmissor será usado. 
removespawn-help|Remove um spawn da arena especificado. Pode ser fornecida três coordenadas e, opcionalmente, um mundo. Se não há argumentos adicionais são fornecidos, a localização do transmissor será usado. Um índice único pode também ser usado. 
same-world|Você deve estar no mesmo mundo como a arena!
