key|message|comments*
*Comments are ignored by the plugin
dna-decay|Questo campione di DNA scomparira tra' %
karma|Karma
karma-damage|Il tuo Karma e' %, quindi affronti & di danno questo round.
full|pieno
no-pm|Non puoi mandare messaggi privati ingame!
left-game|e' uscito dalla mappa %!
commands|Comandi a cui hai accesso:
import-help|Importa un mondo dalla cartella dentro il plugin
join-help|Entra in un gioco esistente
quit-help|Esci da un gioco esistente
spawn-help|Setta il punto di uscita di un gioco
help-help|Mostra il menu di aiuto
karma-permaban|Sei stato bannato permanente dal usare questo minigame su questo server perche' il tuo karma e' sceso sotto %
karma-ban|Sei stato bannato dal usare questo minigame su questo server perche' il tuo karma e' sceso sotto %
karma-kick|Sei stato rimosso automaticamente dal gioco perche' il tuo karma e' sceso sotto %
ban-fail|Impossibile creare il ban per %
folder-rename|Cartella dati pre-0.5 ("Trouble In Terrorist Town") rilevata. Verra' automaticamente rinominata in "TTT." Tuttavia, dovrai rinominarla manualmente se desideri tornare alla versione pre-0.5.
folder-rename-error|Impossibile rinominare la cartella. Devi farlo manualmente.
already-entered|Sei gia' in questo round!
round-full|Il round specificato e' pieno!
connect-fail-1|Massima connessione di 1000ms superata. Riprovando...
connect-fail-2|Si e' verificata un errore durante il controllo dello stato della build corrente. Riprovando...
connect-fail-3|Impossibile connettersi al server %. Lo stato della build corrente rimarra' incontrollata fino alla prossima attivazione del plugin.
response|risposto con %
stable-build|La Build corrente di TTT e' stabile.
unstable-build|La Build corrente di TTT e' unstabile! Considera l idea di aggiornare all ultima release o dev build.
unknown-build|Impossibile determinare la stabilita' della versione corrente di TTT. Se non hai modificato il file plugin.yml (o se non sai cosa sia), annoia il Developer per fargli aggiornare lo stato di questa versione.
build-check-fail|Si e' verificato un errore durante il controllo dello stato della versione corrente.
config-copy-fail|Impossibile copiare il vecchio config!
write-fail|Impossibile scrivere nel %!
creating-file|% non trovato; creandolo...
waiting-sign|ATTESA
preparing|PREPARAZIONE
ingame|INGAME
resetting|RESTARTANDO
locale-fail|Impossibile ottenere il messaggio dal locale!
invalid-sign|Cartello lobby invalido! Scrivi /ttt help lobby per aiuto.
lobby-unregister|Cartello lobby unregistrato
lobby-create|Cartello lobby creato
lobby-unregister-fail|Impossibile unregistrare il cartello Lobby
lobby-create-fail|Impossibile salvare il cartello lobby sul file
lobby-help|Formato cartello lobby
first|Prima
second|Seconda
third|Terza
fourth|Quarta
line|Linea
type|Tipo di cartello
round|Nome Round
number|Numero Cartello (solo per i cartelli "players")|Translator note: do not translate "players"
prerelease|Abbiamo rilevato che stai usando una prerelease build di TTT. Se e' disponibile una release, ti raccomandiamo di aggiornare a quella versione li. Se non e' disponibile, perfavore riporta qualsiasi bug che trovi in questa versione al creatore del plugin.
