key|message|comments*
*Comments are ignored by the plugin
lobby-unregister-fail|Nie udało się wyrejestrować znak holu
lobby-create-fail|Nie udało się zapisać na dysku w holu znak
lobby-help|Format Sign Lobby
first|Pierwszy
second|Second
third|Third
fourth|Czwarty
line|linia
type|Znak Rodzaj
round|Runda Nazwa
number|Liczba Sign (tylko dla "players" znaków)|Translator note: do no translate "players"
prerelease|Wykryliśmy, że używasz prerelease budowa TTT. Jeśli jest dostępne nowsze wydanie, zalecamy aktualizację do tego. Jeśli nie, prosimy o zgłaszanie wszelkich błędów, które znajdziesz w tej kompilacji do autora wtyczki.

Wszystko poniżej tej linii został przetłumaczony tylko przez Google Translate. Zapraszam do skorygowania, jeśli jest niedokładne. :)

createarena-help|Tworzy arenę przez określoną nazwą. Trzy współrzędne i ewentualnie świecie mogą być świadczone. Jeśli żadne dodatkowe argumenty są, będą wykorzystywane lokalizacja nadawcy. 
addspawn-help|Dodaje tarło do określonego rzędu. Trzy współrzędne i ewentualnie świecie mogą być świadczone. Jeśli żadne dodatkowe argumenty są, będą wykorzystywane lokalizacja nadawcy. 
removespawn-help|Usuwa ikry z określonego rzędu. Trzy współrzędne i ewentualnie świecie mogą być świadczone. Jeśli żadne dodatkowe argumenty są, będą wykorzystywane lokalizacja nadawcy.Pojedynczy indeks może być również stosowany. 
same-world|Musisz być w tym samym świecie, co na arenie!
